央视频道,#genre#
更新日期: 2026-8-23 07:24:52,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV5体育,http://txycdn5.video.qq.com/1369718502.m3u8?time=1787435134&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIA5ehTl8hQrUc0tGqXVtJ85iXHnQiYuWYCnGn35TAA6kEBvZNuGAcCeR1aJqFPIjrqEBcBZ2TOpfMD5ugIpPUenBs6JIdstvFAj_-tZFnmVGevyG7eWBbU7el_UPa7D5gHgjhOii-_mGPNjw-uN8X72WPmusCVqEBBwMENQEEUAK4MbJ1p2U1u8DwPbvDeZCB1ZckAqmHTcbIygfHpbbtDk8iFRwc1RBDF7Iuo32T54e_21oYwApc8LlP38syKLzWPaQhv06fk9kqmD9PmoEFFXiSMXvHWLXiETo_5TrebcyhJNhjxGtRqtaWmwYHO-cpJcQ6hd7TbwsUy3P3K6-LIpOqAUizIsBTHSM5SpPUSuA5nItdHruQL5UEmc7G_bhoccU-HH0arNokAGfhsmrJQQW9rBk6U7nuJVzr6vWaK0spdoSxw5Xb1H9cChIDhXY2_GFRTfE-uYbpWQ8Vf0_QGYy8q4sXvnKITd3GnlXTwTpEwDPQgmVXAoUbfB05pdnjHvsjmOJURLlbu9WJxxo0sQG_-NjK32PSriVD6cpEqx5NVY6&drmtype=0
CCTV7国防军事,http://txycdn5.video.qq.com/1370436302.m3u8?time=1787435021&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIKve3WOXTYnBYQ9M216K7_4PpAo0WLA_Q5FMP2D8Zl-IELb-MZGuTqMPzjhPWSBQfqYBcKOcqW-bCjDPEJbwA80xrC5p27JNxVMvmJvohZypUTcY0B_0E6kscIeU7_hNF5rWzQcYrjWeqIlPGDcdGQUigjQecozPS8p5Q3vgtZu74orpbKuML7TUsSToHZa3Ln1Gf4TfIBYL963cnhhwN0qFM4UUmdGOYIMpfPoJKWFWCspsKtjpAUEODl943-3lkqx-7ovqn92b4y-lE_L4TkaXTJXR0_vFqVwAVDLmKwYe0LUWmkLnFw_D3oey5RB2atgIN5jy-2DkXO38r7Nb0QsAdANiW-d2s-25OQM-P2vIsd6hbNhGZ9A8DSIBHZUs5RiGMezMY1_sg1rCS0iUKR_1UifaNvIFx3n6Fg6v_5BEfx512baEV-t2ELgMDKPue0XCZTDTJfL-wK8-05_gUqXGYWHAYzHi4Cr6lbGzJOXL_4draJ4a5FowL7W9PuYje7LdNtuscnaiGTIJJ65nDoiRf7OAKSJ6ZV2CfvSqTSRTcNcz&drmtype=0
CCTV8电视剧,http://txycdn2.video.qq.com/1370436702.m3u8?time=1787434976&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIMQ8TmJ5FM3P_U8eerqwRfCEoYR5quO-ga9GfLeW2DgsEIC0Ux-kpxo5lt0znyulxswBcPpisWm63iYvGcJhTwmk1vAvrJNklq7vjQ6nFfE7ZLS0UPaitakZT1mrVVtyupnQt7GFTLWkG9SSfyf00U12ysVwhlOH5OWLHdStduK3NXs_fJNpvxWkq-mcehfoset1Dux912KCZMhyfy4x8OueDTdFgTN5wdtjm16EIslw7btic7eUScR4TwKtuHO-lN7b0jt7jHnZz9D--gLBnirEWRQm_En5cfBYQ270vKajfwYZUiHPlBU4jTKbt7dQint0hUYqZa-UV59e9OcZgyduUEZjMZQzuF6NIq8kSk4MZYH9UYe3DpdKAfhTUI-Qpy2vVXbw8FpfUL47ZUwzK_UJ07VGUfIC9uBN1I2mdjoVn39su5d0H-GPRnKLMTkAv34PkrENa2H8Zq5cLVEZ5cyOuezUzmH2hd4tG__ZrxwgXC_d3AYP1Va8eJg9mYW4JCI7FnFDwiKpUo8vqfQruovhPKQ35iiNvR5o9XozpXnI-Yrh&drmtype=0
CCTV9纪录,http://play.kankanlive.com/live/1698423397390920.m3u8
CCTV5+体育赛事,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=becfeb51d2869cec38d3eae8e557d268&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260823053159&Channel_ID=0116_2600034600-99000-201600010097841&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=122.97.130.111&SecurityKey=20260823053159&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9d432fc681277d2391cfe717c51a6bd8&sv=10004&ct=android
CCTV13新闻,http://pull-hls-f26.douyincdn.com/media/stream-696306310906118828.m3u8?expire=6a8d5746&sign=d415680ac5adeccaeaf5d24335908baf&arch_hrchy=w1&major_anchor_level=common&exp_hrchy=w1&t_id=037-202608181650131EE478D175EECAD9FA7F-F39U3V
CCTV13新闻,http://txycdn.video.qq.com/1369932003.m3u8?time=1787440214&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgINtAPD1GyzQqXxOmy1As6MAIZ6SYCUW5vLCoFcfm0qpMEKgX1XzOaMQ9K4mUKpWFHD0BcBVUFT-pFE1zwvtpsXVff94IR22NutQq-5QF7nnt-ZbmFif6szhhs551efRt0qUhJ4mcng9B68ZwCQmgLpuxJVd-IN0lZ_nxh2ZjHOKzTQezW5BzgQlNYQv7OtSDhGFFHJVSq3qqN3-GtLjfAOq77DTTFrR3WXDcemae_NDoi2m3nEYuGBwW5oS9cvp-Sb2RfqBPXTJf4Vx0tqsHXxNJZisnjqszRxQC6yawsbdSWRuagEnQuezjy21-t50NoiaDogpPaeTBoG6oO-xoIbI-1vjE8vyAqLp1gtg-O8ng8uP_wlyKsA7rLMIACI9E2HdlbVHpwBc5Omo6dBpjuZHfcx7TqTioaz88us6pF_72DY5OaZhuirvT0FzXBDADuxX2jhEgvktAKLoDfMUGqEWJe92r7kMSgiLZQG3kX1gAcyvsWckISsyTvQ6NgeAJXM2cDwZh5u8jPFYQI_bQiTTzc9jT_e6SEZG4D4X4e3kkTQJR&drmtype=0
CCTV13新闻,http://txycdn7.video.qq.com/1369932002.m3u8?time=1787434648&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgINONeGo-X6QcX3qaKwddh2p8IJOhu0pXz16L-hrI27_hEIyZKZz8oB2mLgLE9fvs8vQBcLtlUwdNGhWdk6hMPFsmq9fTbWLb7jt6QvNGf_gg3HiYGpFQcAdzzt7vPRj5HpK4_ABE7rMkxQz-Vcr3z4Ghp1U8ndGvmCeEri-rjXN2q3NQA-efIb63apzVKQJzYCS1zHS1N5Rl9sdM-gIP1anaJAiVOBu7GYscj5dMohCnkhpYI_BYtx7Q31Rfy2R1kp5mG_meK8o0w7lYjfxRTXaZcHYjQWu_Kl-NwQWf678GL0_i9Z9sDefD4fFRcb3GEq7v0lqA-aQvDKNQTIUThx0e-pj5FVIRBEej5ogKEjzr0lU48Aqujpq14m6jfKC3LEl48S99pF0w_mdAYbnXniRb_egciT47rwus67AEqGFtfIh9w3Bsked0b6oCBg3UDIuGCg0vcSius-6iwXO4rwja2Bk2YMNRVcAd-fLTpR1siF7ofmqISGUqNkdKJEnAqcywp43UiLs7lwfdUVVzb_nP6Xa0AgVxYibJxL7VNOgKfBse&drmtype=0
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
